
steps: 24975, episodes: 1000, mean episode reward: -5.202014964321541, time: 92.621
steps: 49975, episodes: 2000, mean episode reward: -6.175506262201543, time: 98.829
steps: 74975, episodes: 3000, mean episode reward: -4.586348409638704, time: 98.73
steps: 99975, episodes: 4000, mean episode reward: -4.7742575561979175, time: 97.583
steps: 124975, episodes: 5000, mean episode reward: -7.256872150968171, time: 103.678
steps: 149975, episodes: 6000, mean episode reward: -6.943666398184274, time: 100.662
steps: 174975, episodes: 7000, mean episode reward: -7.525470543020025, time: 99.505
steps: 199975, episodes: 8000, mean episode reward: -9.434935662975523, time: 99.911
steps: 224975, episodes: 9000, mean episode reward: -7.159925447415844, time: 98.778
steps: 249975, episodes: 10000, mean episode reward: -5.436451517011041, time: 97.511
steps: 274975, episodes: 11000, mean episode reward: -3.873072983012689, time: 103.854
steps: 299975, episodes: 12000, mean episode reward: -5.66804274557151, time: 102.096
steps: 324975, episodes: 13000, mean episode reward: -5.721160945018639, time: 96.435
steps: 349975, episodes: 14000, mean episode reward: -3.6767223122033554, time: 101.098
steps: 374975, episodes: 15000, mean episode reward: -3.0778765730950215, time: 101.837
steps: 399975, episodes: 16000, mean episode reward: -3.942602024863879, time: 106.6
steps: 424975, episodes: 17000, mean episode reward: -4.173038501011964, time: 105.679
steps: 449975, episodes: 18000, mean episode reward: -2.237458216818066, time: 100.734
steps: 474975, episodes: 19000, mean episode reward: -3.736431800472408, time: 100.882
steps: 499975, episodes: 20000, mean episode reward: -2.6265716173733615, time: 103.097
steps: 524975, episodes: 21000, mean episode reward: -1.756937688646264, time: 101.653
steps: 549975, episodes: 22000, mean episode reward: -3.6496807074091957, time: 104.102
steps: 574975, episodes: 23000, mean episode reward: -3.730247081937086, time: 103.69
steps: 599975, episodes: 24000, mean episode reward: -3.9784620955149186, time: 104.904
steps: 624975, episodes: 25000, mean episode reward: -4.423542027295107, time: 104.939
steps: 649975, episodes: 26000, mean episode reward: -3.5483036007756135, time: 98.825
steps: 674975, episodes: 27000, mean episode reward: -2.1099207010061782, time: 99.328
steps: 699975, episodes: 28000, mean episode reward: -1.7956138083184883, time: 101.15
steps: 724975, episodes: 29000, mean episode reward: -1.8154179046335046, time: 102.304
steps: 749975, episodes: 30000, mean episode reward: -1.7189073120028902, time: 100.846
steps: 774975, episodes: 31000, mean episode reward: -1.5759961464464944, time: 100.346
steps: 799975, episodes: 32000, mean episode reward: -5.156860006699972, time: 97.82
steps: 824975, episodes: 33000, mean episode reward: -1.9033668559915842, time: 98.625
steps: 849975, episodes: 34000, mean episode reward: -1.8355717204223319, time: 99.436
steps: 874975, episodes: 35000, mean episode reward: -1.7379908998452214, time: 100.042
steps: 899975, episodes: 36000, mean episode reward: -2.2386688260581296, time: 96.895
steps: 924975, episodes: 37000, mean episode reward: -2.7733623613529006, time: 102.867
steps: 949975, episodes: 38000, mean episode reward: -4.33615305251026, time: 106.864
steps: 974975, episodes: 39000, mean episode reward: -3.9832467262805005, time: 95.573
steps: 999975, episodes: 40000, mean episode reward: -5.0042227566405, time: 98.858
steps: 1024975, episodes: 41000, mean episode reward: -6.269898648078969, time: 91.119
steps: 1049975, episodes: 42000, mean episode reward: -5.695177160069486, time: 98.066
steps: 1074975, episodes: 43000, mean episode reward: -4.519116467844183, time: 100.156
